GROUP_KEY,CATEGORY,BRAND,DISPLAY_NAME,IMAGE_COUNT,PRIMARY_IMAGE,CONFIDENCE,NEEDS_REVIEW
NO-CAT::Xiaomi::xiaomi-redmi-13-4g-a-medium,,Xiaomi,Xiaomi Redmi 13 4G a medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Redmi-13-4G-a-medium%20(1).webp?updatedAt=1786471240760,LOW,YES
C01::Samsung::galaxy-z-flip-6-d-medium,Smartphones,Samsung,galaxy z flip 6 d medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/galaxy-z-flip-6-d-medium%20(1).webp?updatedAt=1786488987018,MEDIUM,NO
NO-CAT::Samsung::samsung-f36-medium,,Samsung,Samsung F36 medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-F36-medium%20(1).webp?updatedAt=1786488987206,LOW,YES
C01::Samsung::samsung-galaxy-a17-4g-b-medium,Smartphones,Samsung,Samsung Galaxy A17 4G b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-A17-4G-b-medium%20(1).webp?updatedAt=1786488989956,MEDIUM,NO
C01::Samsung::samsung-galaxy-m47-medium,Smartphones,Samsung,Samsung Galaxy M47 medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-M47-medium%20(1).webp?updatedAt=1786489029805,MEDIUM,NO
C01::Samsung::samsung-galaxy-m56-a-medium,Smartphones,Samsung,Samsung Galaxy M56 a medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-M56-a-medium%20(1).webp?updatedAt=1786489031255,MEDIUM,NO
C01::Samsung::samsung-galaxy-z-flip8-c-medium,Smartphones,Samsung,Samsung Galaxy Z Flip8 c medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-Z-Flip8-c-medium%20(1).webp?updatedAt=1786489032753,MEDIUM,NO
NO-CAT::Samsung::galaxys21fe5ge-medium,,Samsung,galaxys21fe5ge medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/galaxys21fe5ge-medium%20(1).webp?updatedAt=1786488848937,LOW,YES
NO-CAT::Samsung::galaxys21plus5ga-medium,,Samsung,galaxys21plus5ga medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/galaxys21plus5ga-medium%20(1).webp?updatedAt=1786488849789,LOW,YES
NO-CAT::Samsung::galaxys22a-medium,,Samsung,galaxys22a medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/galaxys22a-medium%20(1).webp?updatedAt=1786488892790,LOW,YES
NO-CAT::Samsung::galaxys22plusc-medium,,Samsung,galaxys22plusc medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/galaxys22plusc-medium%20(1).webp?updatedAt=1786488894255,LOW,YES
NO-CAT::Samsung::galaxys22ultraa-medium,,Samsung,galaxys22ultraa medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/galaxys22ultraa-medium%20(1).webp?updatedAt=1786488895874,LOW,YES
C01::Samsung::samsung-galaxy-s24-b-medium,Smartphones,Samsung,Samsung Galaxy S24 b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/Samsung-Galaxy-S24-b-medium%20(1).webp?updatedAt=1786488896337,MEDIUM,NO
