duplicateGroupKey,duplicateBasis,count,fileIds,filePaths,names,size,width,height
154|||default (3).svg,same name + size + dimensions,3,6a7bbb8b5c7cd75eb84949e6|6a7bbb535c7cd75eb846da21|6a7bbb025c7cd75eb8421ad3,/laptops1/Laptops _ Nairobi Computer Shop (1)/default (3).svg|/laptops1/Laptops _ Nairobi Computer Shop (2)/default (3).svg|/laptops1/Laptops _ Nairobi Computer Shop (3)/default (3).svg,default (3).svg|default (3).svg|default (3).svg,154,,
1540|100|50|nothing-original (2).webp,same name + size + dimensions,10,6a7ca9de5c7cd75eb8310252|6a7caae45c7cd75eb8417e3c|6a7cab675c7cd75eb849cdc7|6a7cabba5c7cd75eb84f1f0e|6a7caf695c7cd75eb88c1c07|6a7c25535c7cd75eb84f2b47|6a7cac9d5c7cd75eb85d39b2|6a7cadd15c7cd75eb870947a|6a7caeb85c7cd75eb87f97fa|6a7caeee5c7cd75eb883933b,/airbuds/nothing-original (2).webp|/airbuds2/nothing-original (2).webp|/airbuds3/nothing-original (2).webp|/airbuds4/nothing-original (2).webp|/airbuds5/nothing-original (2).webp|/itel/nothing-original (2).webp|/Oppo2/nothing-original (2).webp|/Oppo3/nothing-original (2).webp|/Oppo5/nothing-original (2).webp|/Oppo6/nothing-original (2).webp,nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp|nothing-original (2).webp,1540,100,50
1542|145|145|apple-airpods-2-bk5t8ltfq7-medium (2).webp,same name + size + dimensions,2,6a7caadc5c7cd75eb840f713|6a7cab5e5c7cd75eb84933fa,/airbuds2/apple-airpods-2-BK5t8LTfq7-medium (2).webp|/airbuds3/apple-airpods-2-BK5t8LTfq7-medium (2).webp,apple-airpods-2-BK5t8LTfq7-medium (2).webp|apple-airpods-2-BK5t8LTfq7-medium (2).webp,1542,145,145
156|||default (1).svg,same name + size + dimensions,3,6a7bbb8b5c7cd75eb84947ad|6a7bbb535c7cd75eb846d9cf|6a7bbb025c7cd75eb8421ca1,/laptops1/Laptops _ Nairobi Computer Shop (1)/default (1).svg|/laptops1/Laptops _ Nairobi Computer Shop (2)/default (1).svg|/laptops1/Laptops _ Nairobi Computer Shop (3)/default (1).svg,default (1).svg|default (1).svg|default (1).svg,156,,
156|||default (2).svg,same name + size + dimensions,3,6a7bbb8b5c7cd75eb8494791|6a7bbb535c7cd75eb846da57|6a7bbb025c7cd75eb8421287,/laptops1/Laptops _ Nairobi Computer Shop (1)/default (2).svg|/laptops1/Laptops _ Nairobi Computer Shop (2)/default (2).svg|/laptops1/Laptops _ Nairobi Computer Shop (3)/default (2).svg,default (2).svg|default (2).svg|default (2).svg,156,,
1560|145|145|oneplus-buds-pro-7bkrjvu59n-medium (2).webp,same name + size + dimensions,3,6a7ca9de5c7cd75eb8310450|6a7caae55c7cd75eb841865d|6a7cab675c7cd75eb849d473,/airbuds/oneplus-buds-pro-7BKRjVu59N-medium (2).webp|/airbuds2/oneplus-buds-pro-7BKRjVu59N-medium (2).webp|/airbuds3/oneplus-buds-pro-7BKRjVu59N-medium (2).webp,oneplus-buds-pro-7BKRjVu59N-medium (2).webp|oneplus-buds-pro-7BKRjVu59N-medium (2).webp|oneplus-buds-pro-7BKRjVu59N-medium (2).webp,1560,145,145
1576|100|50|philips-original (2).webp,same name + size + dimensions,5,6a7c25665c7cd75eb84fb4d1|6a7caca75c7cd75eb85dccb9|6a7caddb5c7cd75eb8713f79|6a7caec25c7cd75eb8803eca|6a7caef95c7cd75eb88463e6,/itel/Philips-original (2).webp|/Oppo2/Philips-original (2).webp|/Oppo3/Philips-original (2).webp|/Oppo5/Philips-original (2).webp|/Oppo6/Philips-original (2).webp,Philips-original (2).webp|Philips-original (2).webp|Philips-original (2).webp|Philips-original (2).webp|Philips-original (2).webp,1576,100,50
160|||default.svg,same name + size + dimensions,3,6a7bbb8b5c7cd75eb8494796|6a7bbb535c7cd75eb846da51|6a7bbb015c7cd75eb842044f,/laptops1/Laptops _ Nairobi Computer Shop (1)/default.svg|/laptops1/Laptops _ Nairobi Computer Shop (2)/default.svg|/laptops1/Laptops _ Nairobi Computer Shop (3)/default.svg,default.svg|default.svg|default.svg,160,,
1610|145|145|samsung-galaxy-buds-3-d-medium (2).webp,same name + size + dimensions,2,6a7caae55c7cd75eb8418669|6a7cab675c7cd75eb849d4ff,/airbuds2/Samsung-Galaxy-Buds-3-d-medium (2).webp|/airbuds3/Samsung-Galaxy-Buds-3-d-medium (2).webp,Samsung-Galaxy-Buds-3-d-medium (2).webp|Samsung-Galaxy-Buds-3-d-medium (2).webp,1610,145,145
1624|100|50|xiaomi-logo-original (2).webp,same name + size + dimensions,6,6a7c25675c7cd75eb84fb839|6a7caca75c7cd75eb85dd66c|6a7caddb5c7cd75eb8714110|6a7caec65c7cd75eb8808647|6a7caefa5c7cd75eb8846c21|6a7c24065c7cd75eb845f8b7,/itel/xiaomi-logo-original (2).webp|/Oppo2/xiaomi-logo-original (2).webp|/Oppo3/xiaomi-logo-original (2).webp|/Oppo5/xiaomi-logo-original (2).webp|/Oppo6/xiaomi-logo-original (2).webp|/tvs/xiaomi-logo-original (2).webp,xiaomi-logo-original (2).webp|xiaomi-logo-original (2).webp|xiaomi-logo-original (2).webp|xiaomi-logo-original (2).webp|xiaomi-logo-original (2).webp|xiaomi-logo-original (2).webp,1624,100,50
