ID,SOURCE_FOLDER,FILENAME,DISPLAY_NAME,BRAND,CAT_ID,CAT_NAME,CONFIDENCE,REASONS,URL
6a7b63455c7cd75eb8b33546,ecommerce,Xiaomi-Mix-Flip-2-c-medium (2).webp,Xiaomi Mix Flip 2 c medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Mix-Flip-2-c-medium%20(2).webp?updatedAt=1786471238207
6a7b63475c7cd75eb8b3403f,ecommerce,Xiaomi-Mix-Flip-2-c-medium.webp,Xiaomi Mix Flip 2 c medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Mix-Flip-2-c-medium.webp?updatedAt=1786471240119
6a7b63465c7cd75eb8b33bd9,ecommerce,Xiaomi-Poco-C75-c-medium (1).webp,Xiaomi Poco C75 c medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-C75-c-medium%20(1).webp?updatedAt=1786471239212
6a7b63465c7cd75eb8b33c00,ecommerce,Xiaomi-Poco-C75-c-medium (2).webp,Xiaomi Poco C75 c medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-C75-c-medium%20(2).webp?updatedAt=1786471239243
6a7b63485c7cd75eb8b342dc,ecommerce,Xiaomi-Poco-C75-c-medium.webp,Xiaomi Poco C75 c medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-C75-c-medium.webp?updatedAt=1786471240716
6a7b63475c7cd75eb8b34018,ecommerce,Xiaomi-Poco-C85-5G-a-medium (1).webp,Xiaomi Poco C85 5G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-C85-5G-a-medium%20(1).webp?updatedAt=1786471240117
6a7b63475c7cd75eb8b33f9f,ecommerce,Xiaomi-Poco-C85-5G-a-medium (2).webp,Xiaomi Poco C85 5G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-C85-5G-a-medium%20(2).webp?updatedAt=1786471239999
6a7b63455c7cd75eb8b335b4,ecommerce,Xiaomi-Poco-C85-5G-a-medium.webp,Xiaomi Poco C85 5G a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-C85-5G-a-medium.webp?updatedAt=1786471238415
6a7b63475c7cd75eb8b34015,ecommerce,Xiaomi-Poco-F6-Pro-a-medium (1).webp,Xiaomi Poco F6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-F6-Pro-a-medium%20(1).webp?updatedAt=1786471240109
6a7b63455c7cd75eb8b33562,ecommerce,Xiaomi-Poco-F6-Pro-a-medium (2).webp,Xiaomi Poco F6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-F6-Pro-a-medium%20(2).webp?updatedAt=1786471238293
